Restaurant_ID,Restaurant_name,Cuisines,Address,Locality_verbose,Locality,City,Country_ID,Average_cost_for_two,Price_range,Aggregate_rating,Rating_text,Votes,Delivering_now,Online_delivery,Table_booking,order_menu,Menu_url,Events_url,Longitude,Latitude,Currency
4150,Nirula's,"Fast Food, North Indian, Desserts, Ice Cream","Saran Motors, HP Petrol Pump, Near Muhammadpur, Bhikaji Cama Place, New Delhi","Bhikaji Cama Place, New Delhi",Bhikaji Cama Place,New Delhi,1,1100,3,2.5,Average,98,0,1,0,,https://www.zomato.com/ncr/nirulas-bhikaji-cama-place-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1888437122,28.56747782,,
1862,Bite-N-Sip,"North Indian, Street Food","6, UG-58 & 59, Ansal Chamber 2, Bhikaji Cama Place, New Delhi","Bhikaji Cama Place, New Delhi",Bhikaji Cama Place,New Delhi,1,300,1,2.6,Average,38,0,1,0,,https://www.zomato.com/ncr/bite-n-sip-bhikaji-cama-place-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1884602000,28.5677783,,
819,Lotus Garden,"Chinese, Japanese, Thai","SF-9, Bhikaji Cama Place, New Delhi","Bhikaji Cama Place, New Delhi",Bhikaji Cama Place,New Delhi,1,2000,4,3.2,Average,59,0,0,1,,https://www.zomato.com/ncr/lotus-garden-bhikaji-cama-place-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1870054000,28.5692067,,
3264,Polo Lounge - Hyatt Regency,Finger Food,"Hyatt Regency, Bhikaji Cama Place, New Delhi","Hyatt Regency, Bhikaji Cama Place, New Delhi","Hyatt Regency, Bhikaji Cama Place",New Delhi,1,2500,4,3.6,Good,49,0,0,1,,https://www.zomato.com/ncr/polo-lounge-hyatt-regency-bhikaji-cama-place-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1853310000,28.56904,,
7318,Green Chick Chop,"Raw Meats, North Indian, Fast Food","1/2, Arjun Nagar, Safdarjung Enclave, Safdarjung, New Delhi","Safdarjung, New Delhi",Safdarjung,New Delhi,1,350,1,3.3,Average,30,0,0,0,,https://www.zomato.com/ncr/green-chick-chop-safdarjung-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.2006913647,28.56207497,,
628,Cafe Coffee Day,Cafe,"B6/6, Commercial Complex, Safdarjung Enclave, Safdarjung, New Delhi","Safdarjung, New Delhi",Safdarjung,New Delhi,1,450,1,2.4,Poor,28,0,0,0,,https://www.zomato.com/ncr/cafe-coffee-day-safdarjung-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1960071000,28.5589086,,
18254549,Hot Paprika,"Chinese, Fast Food","14, Arjun Nagar, Near Sukhmani Hospital, Safdarjung Enclave, Safdarjung, New Delhi","Safdarjung, New Delhi",Safdarjung,New Delhi,1,500,2,2.7,Average,26,0,1,0,,https://www.zomato.com/ncr/hot-paprika-safdarjung-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.2005673125,28.56034081,,
18461946,Dec,"Pizza, Continental, Beverages","70-E, Humayunpur, Safdarjung Enclave","Safdarjung, New Delhi",Safdarjung,New Delhi,1,300,1,3.3,Average,15,0,0,0,,https://www.zomato.com/ncr/dec-safdarjung-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,0.0000000000,0,,
18358685,Chawnsan Chef,"Mughlai, North Indian, Chinese","1B/A, Arjun Nagar, Safdarjung, New Delhi","Safdarjung, New Delhi",Safdarjung,New Delhi,1,700,2,3.4,Average,13,0,1,0,,https://www.zomato.com/ncr/chawnsan-chef-safdarjung-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1988890000,28.559828,,
308219,Sugar Loft,"Bakery, Desserts","Safdarjung Enclave, Safdarjung, New Delhi","Safdarjung, New Delhi",Safdarjung,New Delhi,1,500,2,3.4,Average,26,0,0,0,,https://www.zomato.com/ncr/sugar-loft-safdarjung-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1958529949,28.56573815,,
309531,Babbu Da Punjabi Dhaba,North Indian,"2-A, Nauroji Nagar, Safdarjung Enclave, Safdarjung, New Delhi","Safdarjung, New Delhi",Safdarjung,New Delhi,1,300,1,3.3,Average,27,0,0,0,,https://www.zomato.com/ncr/babbu-da-punjabi-dhaba-safdarjung-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1945300000,28.567931,,
309806,Lunia Italian,"Pizza, Fast Food","B 3/1, Shanti Niwas, Arjun Nagar, Safdarjung, New Delhi","Safdarjung, New Delhi",Safdarjung,New Delhi,1,350,1,3.4,Average,25,0,0,0,,https://www.zomato.com/ncr/lunia-italian-safdarjung-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1973888889,28.56108333,,
18357109,Chanky Restruoo,Chinese,"20, Krishna Nagar, Near Safdarjung Enclave, Safdarjung, New Delhi","Safdarjung, New Delhi",Safdarjung,New Delhi,1,500,2,3,Average,12,0,0,0,,https://www.zomato.com/ncr/chanky-restruoo-safdarjung-new-delhi/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,77.1954925731,28.56269484,,
